
 Lista de Imóveis da Caixa;;Data de geração:;27/12/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10177898 ;MG ;ABADIA DOS DOURADOS ;CENTRO ;RUA BÉLGICA, N. 00, QD 08, LT 04 - LOT GARDEN VILLE ;68.787,97;120.000,00;42.68;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177898
 1444419073330 ;MG ;ABADIA DOS DOURADOS ;CENTRO ;RUA DO VALE, N. 161, LT 03B QD 01 ;203.940,58;320.000,00;36.27;Casa, 0.00 de área total, 201.52 de área privativa, 403.00 de área do terreno,  4 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419073330
 8444406376329 ;MG ;ABAETE ;JARDIM PRIMAVERA ;RUA PROFESSORA ARLINDA ANDRADE, N. 645, . ;78.201,87;135.000,00;42.08;Casa, 0.00 de área total, 61.23 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406376329
 1444402742373 ;MG ;ABAETE ;BERNARDO SOARES DE F ;RUA JACIRA GOMES LATALIZA, N. 360, LT 142 QD 05 ;78.556,78;130.000,00;39.58;Casa, 0.00 de área total, 137.70 de área privativa, 240.00 de área do terreno,  3 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402742373
 8444403570957 ;MG ;AIMORES ;BETEL ;RUA CANAA, N. 189, LT 53 QD L ;69.097,72;124.000,00;44.28;Casa, 63.96 de área total, 63.96 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403570957
 8444405053437 ;MG ;AIMORES ;BARRA DO MANHUAÇU ;RUA H, N. 31, LT 09, QD 12 ;71.238,42;70.000,00;0.00;Casa, 0.00 de área total, 44.10 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405053437
 1555530666140 ;MG ;ALEM PARAIBA ;PORTO NOVO ;RUA MANOEL VICENTE FERREIRA, N. 1, Apto 1A, . ;388.761,72;610.000,00;36.27;Apartamento, 0.00 de área total, 292.20 de área privativa, 0.00 de área do terreno, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555530666140
 1444410810579 ;MG ;ALFENAS ;APARECIDA ;RUA JOAO PINHEIRO, N. 669, LT. 30 ;381.500,00;381.500,00;0.00;Casa, 0.00 de área total, 152.58 de área privativa, 218.05 de área do terreno,  3 qto(s), WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410810579
 1444404019296 ;MG ;ALMENARA ;PEDRO GOMES ;RUA HENRIQUE HEITMAN, N. 408, 1º PAVIMENTO ;92.178,74;160.000,00;42.39;Casa, 0.00 de área total, 108.45 de área privativa, 221.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404019296
 8555532845040 ;MG ;ANDRADAS ;BAIRRO DA SOVIS ;AVENIDA ANTONIO GONCALVES, N. 2480, Apto 3, 1 PAV BL 6 UN33 ;118.465,05;196.000,00;39.56;Apartamento, 0.00 de área total, 50.38 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555532845040
 1444415510778 ;MG ;ANDRADAS ;JARDIM MUTERLE ;RUA FELDSPATO, N. SN, LT 12A QD I ;163.152,46;256.000,00;36.27;Casa, 0.00 de área total, 127.01 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415510778
 1555510569832 ;MG ;ANDRADAS ;JOAO TEIXEIRA FILHO ;RUA JOSE VENTURELLI, N. 250, . ;280.418,29;440.000,00;36.27;Casa, 0.00 de área total, 143.29 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555510569832
 8444405226935 ;MG ;ARACUAI ;ALTO SANTUARIO ;RUA MATO GROSSO, N. SN, . ;165.000,00;165.000,00;0.00;Casa, 0.00 de área total, 99.20 de área privativa, 273.61 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405226935
 8444418417963 ;MG ;ARAGUARI ;INDEPENDENCIA  2 ETA ;RUA DOUTOR ROBERTO SANTOS LAUREANO, N. 459, LT19 ;100.741,08;170.000,00;40.75;Casa, 0.00 de área total, 69.86 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418417963
 8787701248045 ;MG ;ARAGUARI ;SAO SEBASTIAO ;RUA EDSON CORREA DE MELO ANTIGA RUA D, N. 690, LT 09 QD 08 ;97.778,11;165.000,00;40.75;Casa, 0.00 de área total, 49.79 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701248045
 8787701714852 ;MG ;ARAGUARI ;PADRE NILO ;RUA EDSON CORREA DE MELO - ANTIGA RUA D, N. 880, LT 15 QD 07 ;127.000,00;127.000,00;0.00;Casa, 0.00 de área total, 49.79 de área privativa, 160.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701714852
 8444422386821 ;MG ;ARAGUARI ;JARDIM INTERLAGOS ;AVENIDA PROJETADA  01, N. SN, LT 04, QD 16 ;215.000,00;215.000,00;0.00;Casa, 0.00 de área total, 70.00 de área privativa, 347.13 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422386821
 1444405998395 ;MG ;ARAXA ;ALVORADA ;RUA JUVENAL PEREIRA MARQUES, N. 165, LT 44 E 45 QD 27 ;288.703,38;453.000,00;36.27;Casa, 0.00 de área total, 261.92 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405998395
 1444412177768 ;MG ;ARAXA ;JOAO BOSCO TEIXEIRA ;RUA ANTONIO FRANCISCO GALINDO, N. 95, LT 18 QD 09 ;280.000,00;280.000,00;0.00;Casa, 0.00 de área total, 69.50 de área privativa, 242.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), cozinha, 3 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412177768
 1555536159666 ;MG ;ARGIRITA ;CENTRO ;RUA JOSE PARADELAS, N. 166 ;61.896,47;114.000,00;45.71;Casa, 44.96 de área total, 44.96 de área privativa, 77.08 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555536159666
 1444414695510 ;MG ;BAMBUI ;CENTRO ;RUA  B, N. SN, LT 04 QD K ;82.182,47;136.000,00;39.58;Casa, 0.00 de área total, 32.70 de área privativa, 590.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414695510
 8444405109149 ;MG ;BAMBUI ;CENTRO ;RUA BENEDITO DA COSTA LOPES, N. 97, LT 36, QD 12 ;165.000,00;165.000,00;0.00;Casa, 0.00 de área total, 61.35 de área privativa, 240.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405109149
